batch,name,age,ploidy,tn5,digitonin,tween,incubation_time,incubation_agitation,pcr_cycles,buffer,subnuc,mononuc,dinuc,ratio_subSURmono,ratio_subSURdi,ratio_monoSURdi,unimap,filtered_reads,SL4.0ch00,SL4.0ch01,SL4.0ch02,SL4.0ch03,SL4.0ch04,SL4.0ch05,SL4.0ch06,SL4.0ch07,SL4.0ch08,SL4.0ch09,SL4.0ch10,SL4.0ch11,SL4.0ch12,chMt,chPt,TSS_EnrichmentScore,TSS_EnrichmentScore_smallFrags
1,M5S5,9,2,0.2,0,0,20,300,13,sysmex,568,610,370,0.9,1.5,1.6,34.8,54315250,0.313639331795528,0.0691066336342317,0.0334922106111834,0.0423787830502447,0.0462520803146143,0.0522663754502997,0.0332857650236789,0.051136533131557,0.0511024237155356,0.0585005110228369,0.0554652708310579,0.0444382450267518,0.0503707709078838,0.0351954100440694,0.0633696554405253,1.33098045323471,1.60972734090207
1,M5S6,9,4,0.2,0,0,20,300,13,sysmex,741,622,411,1.2,1.8,1.5,34.1,48283392,0.318148593039441,0.0681819993922368,0.0325587252037996,0.0417139014080552,0.0461152289440267,0.0520193334716846,0.0325141300672401,0.0507897450243511,0.0504156952054237,0.0583571850351592,0.0546755307374578,0.0439256672939526,0.0503665934445398,0.040327443323488,0.0598902284091428,1.43469359820176,1.8121690296196
2,M8S3,12,4,2,0.01,0,30,500,12,sysmex,1270,704,340,1.8,3.7,2.1,23,23611152,0.1501140769036185,0.09080093584644146,0.04906803503968166,0.06310002190470335,0.06675834671281226,0.07193093939571855,0.047596085690645835,0.06880193499620677,0.06716916083069925,0.07719416725850123,0.07339553527009053,0.06161188049282929,0.06685092840068789,0.019449998160189476,0.026157953097173947,1.47062426493336,2.60322797140828
2,M11S2,9,4,2.5,0.05,0.5,30,1000,9,sysmex,1880,1260,630,1.5,3,2,41.1,51223656,0.12899604738802115,0.0989366724657126,0.04464113921345048,0.06284612431433591,0.06923979603265178,0.07831838115953076,0.046779289537422226,0.07337332905468058,0.07044618247163088,0.08141799759871417,0.07885511358764624,0.061734362452705145,0.07127965002567765,0.014601087150856232,0.01853482754696419,1.24740591578589,1.76622782687495
2,M11S4,9,8,2.5,0,0,30,1000,9,sysmex,9940,4610,1960,2.2,5.1,2.4,39.5,37650846,0.24366567123466598,0.08175374146212605,0.0419668683536998,0.05412305066459552,0.05536036871122412,0.05731279811637239,0.04208101189208427,0.060708599741425166,0.057120896905639755,0.0657737192572358,0.06292675781258167,0.05047542247115827,0.057754853462692664,0.027980866867074287,0.040995373047424254,1.27568586546319,1.63939719632635
2,M12S1,9,4,0.2,0,0,30,1000,12,gif,1640,1390,543,1.2,3,2.6,34.8,52976706,0.2232092920336992,0.0841041630334259,0.04369702381535719,0.054968585588989614,0.06010529793223874,0.06212799220242294,0.040854542433071524,0.06546657153903859,0.06475026791180777,0.06929219378626471,0.06617445053698606,0.051310940133801074,0.06272686681331635,0.016226695655796926,0.03498511658378341,1.37564697921517,1.63151829422363
2,M12S2,9,4,1,0,0,30,1000,12,gif,4720,4170,1540,1.1,3.1,2.7,34.7,33919946,0.22005504986852947,0.08554793234637943,0.04647669665209804,0.0561968298343014,0.05883714249763964,0.06273089361183042,0.041778663325704346,0.06451749752773467,0.06329998464499632,0.06926861059222635,0.06524589997287966,0.05164671512517534,0.061274493028577084,0.013044316758506454,0.04007927421342138,1.67760554228864,2.42681632033975
2,M12S3,9,4,2.5,0,0,30,1000,10,gif,1320,1060,500,1.2,2.6,2.1,36.3,45334828,0.1716067051613312,0.09418192767688832,0.04728772107362959,0.060560787729749356,0.06444100916624838,0.06902477004065258,0.04511407907787578,0.07015328976486353,0.06821054027511678,0.07615911835085004,0.07147448583345606,0.05654790665873583,0.06719636220188728,0.016171680437346306,0.021869616551368973,1.82676370053125,2.72447144852848
2,M12S4,9,8,1,0.05,0.5,30,1000,10,gif,2400,2450,1050,1,2.3,2.3,38.2,47123568,0.2684952229202363,0.07691922191334165,0.039995971109320703,0.050193099041641334,0.053180536943634234,0.05704019828252486,0.0378188214702855,0.057322157371150234,0.05652160395395463,0.06467126304457617,0.05932334176567001,0.04792642630836561,0.05462840488823741,0.02582840843073724,0.05013532255632411,1.47215455679564,1.95581011225208
2,M12S5,9,8,2.5,0.05,0.5,30,1000,10,gif,6820,5060,1910,1.3,3.6,2.6,31.9,50078772,0.1501271380889764,0.09578050920195484,0.05477747055821452,0.06618587099801229,0.06795450057901133,0.06987853545025406,0.050932737245912754,0.06982730315785479,0.06938659288894977,0.07587552751775062,0.07198444596446307,0.057691701630847074,0.06758214693091837,0.01476072891432401,0.017254790872556085,1.67433976373718,2.3095831785948
